korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Hommersåk;Stavanger sentrum;rail;2025-3;Weekday;20:00-05:30;0,026004135597468937;
Bjergsted (Stavanger);Paradis (Stavanger);gange;2022-1;Weekday;05:30-08:30;25,904230597338895;0,0
Bjergsted (Stavanger);Solborg (Stavanger);bil;2025-4;Weekday;08:30-13:30;61,376524267933966;10,782317212397597
Hundvåg;Hommersåk;gange;2022-2;Weekday;13:30-16:30;0,0;0,0
Klepp;Sykehuset;gange;2022-2;Weekday;16:30-20:00;0,0;0,0
Sandnes sentrum;Rennesøy;gange;2021-4;Weekday;16:30-20:00;0,0;0,0
Hinnavågen;Forus;rail;2025-4;Weekday;05:30-08:30;3,0435319914073005;0,0
Hundvåg;Hommersåk;buss;2024-1;Weekday;16:30-20:00;0,0;0,0
Jåsund (Sola);Paradis (Stavanger);sykkel;2022-1;Weekday;08:30-13:30;3,127614555026503;0,0
Rennesøy;Hinnavågen;sykkel;2021-4;Weekday;16:30-20:00;0,0;0,0
Hinnavågen;Hommersåk;bil;2023-3;Weekday;13:30-16:30;6,599337897669412;14,087044731892092
Bjergsted (Stavanger);Hundvåg;bil;2024-2;Weekday;13:30-16:30;10,656181336055507;3,14404935488493
Sykehuset;Lura;buss;2024-3;Weekend;Weekend;1,2645655719662183;0,6529947719372218
Paradis (Stavanger);Sandnes sentrum;bil;2023-1;Weekday;08:30-13:30;31,12830638761513;40,76618290917298
Lura;Madla;gange;2025-3;Weekday;05:30-08:30;3,8991361953538246;0,0
Solborg (Stavanger);Jåsund (Sola);gange;2021-3;Weekday;08:30-13:30;65,51220427215802;0,0
Forus;Stavanger sentrum;gange;2020-2;Weekday;13:30-16:30;24,962226699970852;0,0
Klepp;Hinnavågen;buss;2023-3;Weekday;08:30-13:30;0,0;0,0
Sykehuset;Hinnavågen;sykkel;2024-3;Weekday;20:00-05:30;0,0;0,0
Hommersåk;Klepp;bil;2022-2;Weekday;16:30-20:00;5,12760759419932;10,010538101454598
Solborg (Stavanger);Klepp;bil;2025-1;Weekday;13:30-16:30;7,1345571354604935;12,676416074172057
Stavanger sentrum;Ganddal (Sandnes);rail;2019-2;Weekday;08:30-13:30;0,18138291159209893;
Hundvåg;Sykehuset;gange;2023-4;Weekday;13:30-16:30;6,975379122666762;0,0
Madla;Hinnavågen;gange;2019-3;Weekday;16:30-20:00;25,155663400879558;0,0
Hinnavågen;Hinnavågen;sykkel;2025-1;Weekday;13:30-16:30;78,41817003409221;0,0
Bjergsted (Stavanger);Nærbø;bil;2021-2;Weekday;08:30-13:30;2,9707730663574528;9,0279927973076
Bjergsted (Stavanger);Jåsund (Sola);bil;2022-1;Weekday;05:30-08:30;16,800366919838233;17,322553244382302
Stavanger sentrum;Nærbø;gange;2023-1;Weekday;13:30-16:30;0,0;0,0
Hommersåk;Forus;buss;2023-4;Weekend;Weekend;0,7529575474278201;0,8189614864959136
Jåsund (Sola);Stavanger sentrum;sykkel;2025-1;Weekday;05:30-08:30;2,2811412319029998;0,0
Jåsund (Sola);Bjergsted (Stavanger);gange;2021-4;Weekday;05:30-08:30;6,684278232459278;0,0
Hommersåk;Sykehuset;gange;2023-3;Weekday;05:30-08:30;1,5666775254154501;0,0
Sandnes sentrum;Sykehuset;bil;2019-2;Weekday;05:30-08:30;34,457004414215696;39,06611323984162
Ganddal (Sandnes);Hommersåk;buss;2022-2;Weekday;13:30-16:30;0,0;0,0
Ganddal (Sandnes);Paradis (Stavanger);bil;2020-2;Weekday;05:30-08:30;19,202613598587458;27,824904848754393
Bjergsted (Stavanger);Hinnavågen;bil;2022-3;Weekday;05:30-08:30;20,688448463501764;12,479300559394405
Jåsund (Sola);Jåsund (Sola);bil;2021-3;Weekday;16:30-20:00;175,92329766953478;0,0
Bjergsted (Stavanger);Sola;buss;2020-1;Weekday;08:30-13:30;1,616960390937352;1,2903919431430557
Hinnavågen;Hinnavågen;gange;2023-3;Weekend;Weekend;216,79996469516576;0,0
